des(0,8043,3842)
(0,"intersection_1_t11",1)
(0,"intersection_1_t15",2)
(1,"intersection_1_t25",3)
(2,"intersection_1_t21",4)
(2,"intersection_1_t25",5)
(3,"intersection_1_t31",6)
(3,"intersection_1_t33",7)
(3,"intersection_1_t35",8)
(4,"intersection_1_t31",9)
(4,"intersection_1_t33",10)
(4,"intersection_1_t35",11)
(5,"intersection_1_t31",12)
(5,"intersection_1_t33",13)
(5,"intersection_1_t35",14)
(6,"intersection_1_t42",15)
(6,"intersection_1_t44",16)
(6,"intersection_1_t46",17)
(7,"intersection_1_t42",18)
(7,"intersection_1_t44",19)
(7,"intersection_1_t46",20)
(8,"intersection_1_t42",21)
(8,"intersection_1_t44",22)
(8,"intersection_1_t46",23)
(9,"intersection_1_t42",24)
(9,"intersection_1_t44",25)
(9,"intersection_1_t46",26)
(10,"intersection_1_t42",27)
(10,"intersection_1_t44",28)
(10,"intersection_1_t46",29)
(11,"intersection_1_t42",30)
(11,"intersection_1_t44",31)
(11,"intersection_1_t46",32)
(12,"intersection_1_t42",33)
(12,"intersection_1_t44",34)
(12,"intersection_1_t46",35)
(13,"intersection_1_t42",36)
(13,"intersection_1_t44",37)
(13,"intersection_1_t46",38)
(14,"intersection_1_t42",39)
(14,"intersection_1_t44",40)
(14,"intersection_1_t46",41)
(15,"intersection_1_t15",42)
(16,"intersection_1_t15",43)
(17,"intersection_1_t15",44)
(18,"intersection_1_t15",45)
(19,"intersection_1_t15",46)
(20,"intersection_1_t15",47)
(21,"intersection_1_t15",48)
(22,"intersection_1_t15",49)
(23,"intersection_1_t15",50)
(24,"intersection_1_t11",51)
(24,"intersection_1_t13",52)
(24,"intersection_1_t15",53)
(25,"intersection_1_t11",54)
(25,"intersection_1_t13",55)
(25,"intersection_1_t15",56)
(26,"intersection_1_t11",57)
(26,"intersection_1_t13",58)
(26,"intersection_1_t15",59)
(27,"intersection_1_t11",60)
(27,"intersection_1_t13",61)
(27,"intersection_1_t15",62)
(28,"intersection_1_t11",63)
(28,"intersection_1_t13",64)
(28,"intersection_1_t15",65)
(29,"intersection_1_t11",66)
(29,"intersection_1_t13",67)
(29,"intersection_1_t15",68)
(30,"intersection_1_t11",69)
(30,"intersection_1_t13",70)
(30,"intersection_1_t15",71)
(31,"intersection_1_t11",72)
(31,"intersection_1_t13",73)
(31,"intersection_1_t15",74)
(32,"intersection_1_t11",75)
(32,"intersection_1_t13",76)
(32,"intersection_1_t15",77)
(33,"intersection_1_t11",42)
(33,"intersection_1_t15",78)
(34,"intersection_1_t11",43)
(34,"intersection_1_t15",79)
(35,"intersection_1_t11",44)
(35,"intersection_1_t15",80)
(36,"intersection_1_t11",45)
(36,"intersection_1_t15",81)
(37,"intersection_1_t11",46)
(37,"intersection_1_t15",82)
(38,"intersection_1_t11",47)
(38,"intersection_1_t15",83)
(39,"intersection_1_t11",48)
(39,"intersection_1_t15",84)
(40,"intersection_1_t11",49)
(40,"intersection_1_t15",85)
(41,"intersection_1_t11",50)
(41,"intersection_1_t15",86)
(42,"intersection_1_t23",87)
(42,"intersection_1_t25",88)
(43,"intersection_1_t23",89)
(43,"intersection_1_t25",90)
(44,"intersection_1_t23",91)
(44,"intersection_1_t25",92)
(45,"intersection_1_t23",93)
(45,"intersection_1_t25",94)
(46,"intersection_1_t23",95)
(46,"intersection_1_t25",96)
(47,"intersection_1_t23",97)
(47,"intersection_1_t25",98)
(48,"intersection_1_t23",99)
(48,"intersection_1_t25",100)
(49,"intersection_1_t23",101)
(49,"intersection_1_t25",102)
(50,"intersection_1_t23",103)
(50,"intersection_1_t25",104)
(51,"intersection_1_t21",87)
(52,"intersection_1_t21",105)
(52,"intersection_1_t25",106)
(53,"intersection_1_t21",107)
(53,"intersection_1_t25",108)
(54,"intersection_1_t21",89)
(55,"intersection_1_t21",109)
(55,"intersection_1_t25",110)
(56,"intersection_1_t21",111)
(56,"intersection_1_t25",112)
(57,"intersection_1_t21",91)
(58,"intersection_1_t21",113)
(58,"intersection_1_t25",114)
(59,"intersection_1_t21",115)
(59,"intersection_1_t25",116)
(60,"intersection_1_t21",93)
(61,"intersection_1_t21",117)
(61,"intersection_1_t25",118)
(62,"intersection_1_t21",119)
(62,"intersection_1_t25",120)
(63,"intersection_1_t21",95)
(64,"intersection_1_t21",121)
(64,"intersection_1_t25",122)
(65,"intersection_1_t21",123)
(65,"intersection_1_t25",124)
(66,"intersection_1_t21",97)
(67,"intersection_1_t21",125)
(67,"intersection_1_t25",126)
(68,"intersection_1_t21",127)
(68,"intersection_1_t25",128)
(69,"intersection_1_t21",99)
(70,"intersection_1_t21",129)
(70,"intersection_1_t25",130)
(71,"intersection_1_t21",131)
(71,"intersection_1_t25",132)
(72,"intersection_1_t21",101)
(73,"intersection_1_t21",133)
(73,"intersection_1_t25",134)
(74,"intersection_1_t21",135)
(74,"intersection_1_t25",136)
(75,"intersection_1_t21",103)
(76,"intersection_1_t21",137)
(76,"intersection_1_t25",138)
(77,"intersection_1_t21",139)
(77,"intersection_1_t25",140)
(78,"intersection_1_t21",108)
(78,"intersection_1_t23",107)
(78,"intersection_1_t25",141)
(79,"intersection_1_t21",112)
(79,"intersection_1_t23",111)
(79,"intersection_1_t25",142)
(80,"intersection_1_t21",116)
(80,"intersection_1_t23",115)
(80,"intersection_1_t25",143)
(81,"intersection_1_t21",120)
(81,"intersection_1_t23",119)
(81,"intersection_1_t25",144)
(82,"intersection_1_t21",124)
(82,"intersection_1_t23",123)
(82,"intersection_1_t25",145)
(83,"intersection_1_t21",128)
(83,"intersection_1_t23",127)
(83,"intersection_1_t25",146)
(84,"intersection_1_t21",132)
(84,"intersection_1_t23",131)
(84,"intersection_1_t25",147)
(85,"intersection_1_t21",136)
(85,"intersection_1_t23",135)
(85,"intersection_1_t25",148)
(86,"intersection_1_t21",140)
(86,"intersection_1_t23",139)
(86,"intersection_1_t25",149)
(87,"intersection_1_t31",150)
(87,"intersection_1_t33",151)
(87,"intersection_1_t35",152)
(88,"intersection_1_t31",153)
(88,"intersection_1_t35",154)
(89,"intersection_1_t31",155)
(89,"intersection_1_t33",156)
(89,"intersection_1_t35",157)
(90,"intersection_1_t31",158)
